LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,207,15.1%,276,20.1%,483,35.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,4698,15.7%,4316,14.5%,9014,30.2%,DISTRICT TOTAL,COUNTY,,,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,2421,15.8%,2171,14.2%,4592,30%,ELEMENTARY,COUNTY,,,,,,,
000026,MONROE,MONROE,FINGER LAKES,2012-2014,2005,16.9%,1785,15.1%,3790,32%,MIDDLE/HIGH,COUNTY,,,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,344,16.7%,308,14.9%,652,31.6%,DISTRICT TOTAL,COUNTY,,,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,196,16.5%,171,14.4%,367,30.9%,ELEMENTARY,COUNTY,,,,,,,
000027,MONTGOMERY,MONTGOMERY,NORTHEASTERN NEW YORK,2012-2014,144,16.8%,132,15.4%,276,32.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,9812,15.3%,9896,15.5%,19708,30.8%,DISTRICT TOTAL,COUNTY,,,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,5379,14.7%,5898,16.2%,11277,30.9%,ELEMENTARY,COUNTY,,,,,,,
000028,NASSAU,NASSAU,NASSAU-SUFFOLK,2012-2014,4289,16.3%,3900,14.8%,8189,31%,MIDDLE/HIGH,COUNTY,,,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,1921,17.8%,2164,20.1%,4085,37.9%,DISTRICT TOTAL,COUNTY,,,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,1066,16.8%,1146,18%,2212,34.8%,ELEMENTARY,COUNTY,,,,,,,
000040,NIAGARA,NIAGARA,WESTERN NEW YORK,2012-2014,844,19.4%,981,22.6%,1825,42%,MIDDLE/HIGH,COUNTY,,,,,,,
